시설관리공단명,사업명, 현행수입 , 인건비 , 운영비 , 공단수입 , 인건비 , 운영비 ,비용상승률,공무원인건비증가율,수입상승률,인건비상승률,비용상승률(공단)
김천시 시설관리공단,수도산 자연휴양림,373749,529073,600324,373749,317331,604965,0.011,0.0414,0.011,0.0246,0.0246
김천시 시설관리공단,생태체험마을,327269,699617,281454,327269,611719,281454,0.011,0.0414,0.011,0.0246,0.0246
김천시 시설관리공단,산내들 오토캠핑장,107923,179025,58312,107923,168850,58312,0.011,0.0414,0.011,0,0
김천시 시설관리공단,증산수도 오토캠핑장,28212,147481,44905,28212,137306,44905,0.011,0.0414,0.011,0,0
김천시 시설관리공단,사명대사공원,670701,763320,532448,670701,526087,532448,0.011,0.0414,0.011,0,0
김천시 시설관리공단,실내수영장,1422486,977400,1319822,1482876,886480,1373488,0.011,0.0414,0.011,0.0313,0.0313
김천시 시설관리공단,국민체육센터,40245,183988,98570,42167,134192,102578,0.011,0.0414,0.011,0.0313,0.0313
김천시 시설관리공단,김천시립추모공원,687600,762886,998775,687600,513757,998775,0.011,0.0414,0.011,0.0235,0.0235
평창군 시설관리공단,수학아카데미아,436821,431629,176021,436821,214823,176021,0.011,0.0414,0.011,0,0
평창군 시설관리공단,수석전시관,197072,342413,70767,1797072,170073,70767,0.011,0.0414,0.011,0,0
평창군 시설관리공단,대관령휴게소,26500,11968,0,577338,237383,295988,0.011,0.0414,0.011,0,0
평창군 시설관리공단,자연휴양림,17165,36432,4534,111991,80450,57614,0.011,0.0414,0.011,0.0246,0.0246
평창군 시설관리공단,오토캠핑장,17745,12144,0,119869,77465,25447,0.011,0.0414,0.011,0,0
평창군 시설관리공단,평창장례식장,90072,142806,69838,90072,116031,69838,0.011,0.0414,0.011,0,0
평창군 시설관리공단,진부장례식장,50914,181271,87597,50914,119551,87597,0.011,0.0414,0.011,0,0
평창군 시설관리공단,평창군공설묘원,258878,137525,170989,258878,128628,170989,0.011,0.0414,0.011,0,0
거창군 시설과리공단,거창창포원,2506491,730410,2272926,2506491,697714,2272926,0.011,0.0414,0.011,0.0414,0.03
거창군 시설과리공단,빼제산림레포츠파크,856544,738643,1534373,856544,645779,1534373,0.011,0.0414,0.011,0.0246,0.0246
거창군 시설과리공단,항노화힐링랜드,163831,230536,213307,163831,175154,213307,0.011,0.0414,0.011,0.0246,0.0246
거창군 시설과리공단,수승대 및 목재문화체험장,470731,750454,354111,470731,593603,393605,0.011,0.0414,0.011,0.0249,0.0249
거창군 시설과리공단,국민체육센터,764453,820311,393646,764453,730766,393646,0.011,0.0414,0.011,0.0313,0.0313
거창군 시설과리공단,생활체육센터,35755,371327,842500,59125,420300,842500,0.011,0.0414,0.011,0.0313,0.0313
거창군 시설과리공단,과학관,49702,163818,107097,49702,360004,107097,0.011,0.0414,0.011,0.0313,0.0313
거창군 시설과리공단,월성수련원,0,68157,35611,393821,791192,305491,0.011,0.0414,0.011,0.0313,0.0313
거창군 시설과리공단,캠핑장,9926,1,1,52126,200387,35405,0.011,0.0414,0.011,0.0313,0.0313
거창군 시설과리공단,상수도,0,1312471,1801416,0,1176835,1801416,0.011,0.0414,0.011,0.0249,0.0249
거창군 시설과리공단,하수도,0,2002118,2522901,0,2131525,1596606,0.011,0.0414,0.011,0.0249,0.0249
거창군 시설과리공단,폐기물 소각시설,51494,929803,776074,51494,868631,525474,0.011,0.0414,0.011,0.0249,0.0249
거창군 시설과리공단,희봉위생공사,1205779,3037311,1641048,1205779,2640367,644987,0.011,0.0414,0.011,0.0249,0.0249
거창군 시설과리공단,차고지,47742,205632,15923,45570,299205,15923,0.011,0.0414,0.011,0.0313,0.0313
거창군 시설과리공단,농기계임대사업소,255493,538636,291943,255493,485631,291943,0.011,0.0414,0.011,0.0246,0.0246
거창군 시설과리공단,거창읍봉안당,40000,45015,7000,40000,169497,16820,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,지하도상가,3078971,1500970,2265048,3078971,1458391,2265048,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,진곡화물차고지,627831,425835,251924,627831,392368,251924,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,평동화물차고지,329586,415723,98371,329586,380888,98371,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,염주골프센터,995606,720215,483733,995606,635531,483733,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,실내주영장,1683796,1042495,1047943,1683796,936635,1047943,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,실내방상장,669754,504976,547219,669754,473195,547219,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,염주종합체육관,696400,469859,364761,696400,423377,364761,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,국민생활관,241400,79150,68576,241400,68872,68576,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,빛고을체육관,106600,56108,115879,106600,47992,115879,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,전천후테니스장,104200,109586,38371,104200,105891,38371,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,염주테니스장,20000,29460,17566,20000,17999,17566,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,염주승마장,314400,260273,197343,314400,198174,197343,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,검도장,33200,14774,8200,33200,13476,8200,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,월드컵경기장,5521200,1465585,805000,5521200,1250212,805000,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,첨단대상파크골프장,25750,102212,12304,25750,90103,12304,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,보라매축구공원,47750,89736,23250,47750,46481,23250,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,영락공원,4722415,2102069,2251125,4722415,1755392,2251125,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,망월묘지,2828442,411577,281409,2828442,382311,281409,0.011,0.0414,0.011,0,0
광주광역시 시설관리공단,시민의 숲내 야영장,146394,606730,88764,146394,361724,88764,0.011,0.0414,0.011,0,0
