합계,한국인,등록외국인,고령자
합계,"9,740,398","285,529","1,468,146"
종로구,"151,767","11,093","27,394"
중구,"126,409","10,254","23,025"
용산구,"228,830","16,159","38,531"
성동구,"303,158","8,132","43,662"
광진구,"352,692","15,645","47,347"
동대문구,"346,551","17,228","58,764"
중랑구,"398,812","4,964","64,449"
성북구,"441,590","12,524","70,204"
강북구,"314,090","3,785","59,808"
도봉구,"335,280","2,314","58,070"
노원구,"535,282","4,547","79,968"
은평구,"481,663","4,496","79,957"
서대문구,"310,069","14,020","51,708"
마포구,"373,629","11,976","51,961"
양천구,"459,849","4,082","60,487"
강서구,"593,708","6,532","82,937"
구로구,"406,748","33,102","64,952"
금천구,"233,371","19,497","37,191"
영등포구,"368,402","34,076","57,350"
동작구,"397,618","12,869","61,607"
관악구,"502,117","17,836","74,518"
서초구,"431,027","4,231","56,455"
강남구,"544,028","5,015","70,029"
송파구,"677,489","6,849","86,062"
강동구,"426,219","4,303","61,710"
